,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
64,50,housemaid,married,secondary,no,0,yes,no,cellular,22,jul,160,1,-1,0,unknown,no
65,32,entrepreneur,married,tertiary,no,964,yes,no,cellular,22,jul,370,2,-1,0,unknown,no
66,55,admin.,married,tertiary,no,46,no,no,cellular,29,aug,59,4,-1,0,unknown,no
67,32,entrepreneur,single,tertiary,no,890,yes,yes,cellular,28,aug,27,10,-1,0,unknown,no
68,25,technician,single,secondary,no,505,no,yes,cellular,17,nov,386,2,-1,0,unknown,yes
69,44,entrepreneur,single,tertiary,no,1136,yes,yes,cellular,3,apr,345,2,249,7,other,no
70,29,entrepreneur,married,secondary,no,714,yes,yes,cellular,13,may,482,2,-1,0,unknown,yes
71,60,management,divorced,primary,no,21,no,yes,telephone,14,jul,113,3,-1,0,unknown,no
72,35,technician,single,secondary,no,694,no,no,cellular,9,feb,29,2,-1,0,unknown,no
73,48,management,married,primary,no,427,no,no,cellular,17,nov,62,1,-1,0,unknown,no
74,38,technician,married,secondary,no,710,yes,no,cellular,17,apr,196,1,346,3,failure,no
75,27,services,single,secondary,no,-151,no,no,cellular,8,jul,283,2,-1,0,unknown,no
76,29,management,single,secondary,no,417,no,no,cellular,7,oct,90,1,-1,0,unknown,no
77,31,self-employed,married,tertiary,no,170,no,yes,cellular,28,jul,98,16,-1,0,unknown,no
78,77,retired,married,tertiary,no,0,no,no,cellular,6,apr,190,1,-1,0,unknown,no
79,46,admin.,married,secondary,no,2583,yes,no,cellular,10,jul,111,1,-1,0,unknown,no
80,58,retired,married,primary,no,1077,no,no,cellular,15,jun,592,1,-1,0,unknown,no
81,39,blue-collar,married,secondary,no,1307,yes,no,telephone,31,oct,158,1,-1,0,unknown,yes
82,46,entrepreneur,married,tertiary,no,120,no,no,unknown,17,jun,171,4,-1,0,unknown,no
83,31,technician,single,tertiary,no,882,no,no,cellular,3,jun,411,1,-1,0,unknown,yes
84,52,services,divorced,secondary,no,6,no,no,cellular,23,jul,156,3,-1,0,unknown,no
85,50,management,single,tertiary,no,592,no,no,cellular,8,aug,445,4,-1,0,unknown,no
86,41,management,single,tertiary,no,0,no,no,cellular,31,jul,24,4,-1,0,unknown,no
87,33,admin.,married,secondary,no,353,yes,no,cellular,19,nov,107,2,-1,0,unknown,no
88,60,services,married,unknown,no,132,yes,no,unknown,15,may,29,1,-1,0,unknown,no
89,36,self-employed,married,tertiary,no,634,yes,no,cellular,21,nov,369,2,-1,0,unknown,no
90,50,services,single,primary,no,148,yes,no,unknown,7,may,198,2,-1,0,unknown,no
91,39,entrepreneur,married,secondary,no,3471,yes,no,cellular,27,may,113,1,-1,0,unknown,no
92,34,management,married,tertiary,no,1906,yes,no,cellular,14,jul,68,3,-1,0,unknown,no
93,31,self-employed,single,tertiary,no,91,no,no,unknown,23,may,206,1,-1,0,unknown,no
94,72,retired,married,primary,no,2304,no,no,telephone,5,may,510,4,-1,0,unknown,yes
95,43,management,married,tertiary,no,1530,no,no,cellular,7,jul,91,3,-1,0,unknown,no
96,42,blue-collar,married,secondary,no,-21,no,no,unknown,2,jun,377,1,-1,0,unknown,no
97,38,management,single,tertiary,no,619,yes,no,unknown,6,jun,460,4,-1,0,unknown,yes
98,30,admin.,single,secondary,no,390,yes,no,cellular,17,apr,175,1,347,1,failure,no
99,46,services,married,secondary,no,-522,yes,no,cellular,31,jul,61,2,-1,0,unknown,no
100,34,management,single,tertiary,no,138,yes,no,cellular,18,may,191,5,-1,0,unknown,no
101,45,technician,single,tertiary,no,2100,yes,no,cellular,23,jul,285,2,-1,0,unknown,no
102,29,entrepreneur,single,primary,no,97,yes,no,cellular,29,jan,200,1,-1,0,unknown,no
103,35,technician,divorced,secondary,no,48,yes,no,cellular,17,apr,73,1,-1,0,unknown,no
104,40,blue-collar,married,primary,no,2133,yes,yes,cellular,6,apr,377,3,325,1,failure,no
105,30,blue-collar,single,secondary,no,1598,yes,no,cellular,10,jul,634,1,-1,0,unknown,yes
106,43,technician,divorced,unknown,no,4389,no,no,cellular,8,apr,618,1,-1,0,unknown,yes
107,58,retired,divorced,primary,no,2538,yes,no,cellular,31,jul,307,6,-1,0,unknown,no
108,40,management,married,secondary,yes,-1545,no,no,cellular,27,aug,70,13,-1,0,unknown,no
109,32,technician,married,unknown,no,14533,no,no,cellular,31,dec,646,3,198,2,success,no
110,56,blue-collar,married,secondary,no,876,yes,no,telephone,18,may,93,2,-1,0,unknown,no
111,47,management,married,secondary,no,1083,no,no,cellular,25,aug,141,4,-1,0,unknown,no
112,57,management,married,tertiary,no,320,no,no,cellular,7,aug,76,2,-1,0,unknown,no
113,49,blue-collar,married,unknown,no,51,yes,no,unknown,7,may,984,1,-1,0,unknown,no
114,33,admin.,divorced,secondary,no,961,no,no,cellular,30,jan,308,2,-1,0,unknown,no
115,34,management,single,tertiary,no,151,yes,no,cellular,20,apr,7,4,-1,0,unknown,no
116,55,retired,divorced,primary,no,925,no,no,unknown,17,jun,254,1,-1,0,unknown,no
117,49,technician,married,secondary,no,2765,no,no,cellular,13,aug,233,4,-1,0,unknown,no
118,29,management,married,tertiary,no,0,yes,no,cellular,6,may,667,2,-1,0,unknown,yes
119,38,services,married,unknown,no,4644,yes,no,telephone,18,nov,55,2,-1,0,unknown,no
120,45,housemaid,married,secondary,no,360,no,no,cellular,3,nov,215,1,-1,0,unknown,yes
121,54,housemaid,divorced,secondary,yes,34,no,no,cellular,21,jul,208,3,-1,0,unknown,no
122,27,management,single,tertiary,no,1720,no,no,cellular,15,jun,910,1,224,3,success,yes
123,56,blue-collar,divorced,secondary,no,75,yes,no,unknown,12,may,136,2,-1,0,unknown,no
124,30,management,married,tertiary,no,1882,yes,no,cellular,11,aug,249,5,-1,0,unknown,no
125,45,technician,married,secondary,no,858,no,no,cellular,5,feb,617,4,251,2,failure,no
126,50,admin.,divorced,secondary,no,175,no,no,cellular,22,jul,112,3,-1,0,unknown,no
127,28,services,married,secondary,no,458,yes,no,cellular,13,may,19,11,-1,0,unknown,no
128,31,blue-collar,single,secondary,no,-538,no,yes,cellular,6,feb,521,1,-1,0,unknown,no
129,60,management,married,unknown,no,1046,yes,no,unknown,24,jun,32,3,-1,0,unknown,no
130,37,management,single,tertiary,no,171,yes,yes,cellular,7,aug,250,3,-1,0,unknown,no
131,54,admin.,divorced,secondary,no,1383,yes,yes,cellular,30,jul,622,4,-1,0,unknown,no
132,52,technician,married,secondary,no,2206,yes,no,unknown,20,jun,20,18,-1,0,unknown,no
133,34,blue-collar,married,primary,no,1666,yes,no,unknown,31,mar,30,1,-1,0,unknown,no
134,31,technician,divorced,secondary,no,-174,no,yes,cellular,30,jul,113,10,-1,0,unknown,no
135,59,entrepreneur,married,primary,no,222,no,no,cellular,18,nov,97,1,-1,0,unknown,no
136,41,management,married,tertiary,no,176,yes,yes,unknown,5,may,42,1,-1,0,unknown,no
137,57,housemaid,married,primary,no,0,no,no,unknown,17,jun,187,2,-1,0,unknown,no
138,43,management,married,tertiary,no,704,no,no,cellular,18,jul,116,1,-1,0,unknown,no
139,37,blue-collar,married,primary,no,3574,yes,no,unknown,2,jun,152,2,-1,0,unknown,no
140,46,technician,divorced,tertiary,no,532,no,no,cellular,22,aug,491,2,-1,0,unknown,no
141,39,blue-collar,single,secondary,no,1672,yes,no,cellular,20,apr,462,1,648,1,failure,yes
142,38,retired,single,unknown,no,62,no,no,unknown,19,jun,212,1,-1,0,unknown,no
143,54,blue-collar,married,secondary,no,-102,yes,no,cellular,27,aug,164,7,-1,0,unknown,no
144,51,services,married,secondary,no,276,no,no,cellular,26,aug,217,2,-1,0,unknown,no
145,46,blue-collar,married,unknown,no,842,yes,no,telephone,8,may,833,1,-1,0,unknown,yes
146,51,technician,married,secondary,no,536,yes,yes,cellular,4,feb,53,1,-1,0,unknown,no
147,30,management,single,tertiary,no,30,no,no,cellular,21,aug,220,5,-1,0,unknown,no
148,41,services,married,secondary,no,33,yes,yes,unknown,27,may,82,1,-1,0,unknown,no
149,34,management,divorced,tertiary,no,36,no,no,telephone,29,aug,77,7,-1,0,unknown,no
150,30,management,single,tertiary,no,55,no,no,cellular,21,aug,132,1,-1,0,unknown,no
151,27,management,single,tertiary,no,2648,no,no,cellular,5,feb,917,1,-1,0,unknown,yes
152,48,admin.,married,secondary,no,6532,yes,no,unknown,14,may,312,5,-1,0,unknown,no
153,31,management,married,tertiary,no,1331,no,no,cellular,30,apr,297,1,86,3,success,yes
154,28,services,single,secondary,no,102,no,no,cellular,15,jun,64,1,89,3,other,no
155,39,management,married,tertiary,no,141,yes,no,cellular,13,may,788,2,331,6,other,no
156,46,services,married,secondary,no,561,yes,no,cellular,9,feb,84,4,256,7,failure,no
157,56,management,married,primary,no,405,no,no,cellular,21,jul,251,2,-1,0,unknown,no
158,41,admin.,married,secondary,no,3138,no,no,cellular,14,sep,409,1,398,1,failure,yes
159,39,admin.,single,secondary,no,2749,yes,no,cellular,8,may,104,1,170,1,failure,no
160,33,technician,married,secondary,no,956,yes,yes,cellular,20,aug,120,2,-1,0,unknown,no
161,53,blue-collar,divorced,secondary,no,640,yes,no,cellular,11,may,321,2,-1,0,unknown,no
162,34,technician,single,secondary,no,229,no,no,cellular,22,aug,154,2,-1,0,unknown,no
163,79,retired,married,primary,no,1058,no,no,telephone,17,may,564,5,-1,0,unknown,no
164,41,admin.,married,primary,no,611,no,yes,cellular,17,nov,487,1,-1,0,unknown,no
165,54,blue-collar,married,primary,no,6191,no,no,cellular,19,nov,102,2,-1,0,unknown,no
166,56,housemaid,married,primary,no,1168,no,no,telephone,17,nov,673,2,-1,0,unknown,no
167,31,technician,married,secondary,no,180,no,no,cellular,17,mar,299,2,-1,0,unknown,yes
168,47,entrepreneur,married,secondary,no,136,yes,no,unknown,20,may,132,1,-1,0,unknown,no
169,50,blue-collar,married,primary,no,42,yes,no,unknown,4,jun,170,3,-1,0,unknown,no
170,37,technician,divorced,secondary,no,0,yes,no,cellular,11,jul,283,1,-1,0,unknown,no
171,30,entrepreneur,single,secondary,no,638,no,no,cellular,14,jul,358,6,-1,0,unknown,no
172,45,management,divorced,secondary,no,51,yes,no,cellular,31,jul,67,8,-1,0,unknown,no
173,30,technician,single,tertiary,no,411,no,no,cellular,22,oct,127,3,149,2,failure,yes
174,49,services,single,secondary,no,3061,yes,no,unknown,15,may,155,2,-1,0,unknown,no
175,33,management,married,tertiary,no,26721,no,no,cellular,5,feb,435,3,-1,0,unknown,no
176,55,services,single,secondary,no,-40,yes,no,unknown,12,may,178,2,-1,0,unknown,no
177,35,admin.,married,secondary,no,0,yes,no,cellular,7,may,121,2,-1,0,unknown,no
178,55,housemaid,divorced,tertiary,no,1241,no,no,cellular,21,nov,48,7,154,5,failure,no
179,45,retired,divorced,secondary,no,187,yes,no,cellular,11,may,82,2,-1,0,unknown,no
180,31,services,single,secondary,no,864,yes,no,cellular,6,may,100,1,-1,0,unknown,no
181,45,services,divorced,secondary,no,-28,no,yes,cellular,30,jan,87,1,-1,0,unknown,no
182,30,blue-collar,married,primary,no,4,yes,no,unknown,2,jun,34,1,-1,0,unknown,no
183,56,services,married,secondary,no,4914,no,no,cellular,18,aug,70,4,-1,0,unknown,no
184,44,admin.,married,secondary,no,0,no,no,unknown,26,may,85,3,-1,0,unknown,no
185,46,blue-collar,married,primary,no,296,yes,no,unknown,4,jun,92,2,-1,0,unknown,no
186,43,services,married,primary,no,2557,yes,no,telephone,15,oct,166,3,183,5,success,yes
187,43,technician,married,secondary,no,282,no,yes,cellular,21,nov,48,2,-1,0,unknown,no
188,47,technician,married,secondary,no,3973,no,no,cellular,6,aug,732,2,-1,0,unknown,no
189,65,retired,married,primary,no,308,no,no,cellular,1,sep,400,1,-1,0,unknown,yes
190,59,blue-collar,married,secondary,no,410,yes,no,cellular,2,feb,136,1,-1,0,unknown,no
191,50,blue-collar,married,secondary,yes,-812,no,yes,cellular,5,feb,8,8,-1,0,unknown,no
192,57,technician,married,unknown,no,345,yes,no,unknown,6,may,125,1,-1,0,unknown,no
193,52,technician,married,secondary,no,141,no,no,cellular,25,aug,160,7,-1,0,unknown,no
194,36,management,married,tertiary,no,0,no,no,cellular,21,aug,173,2,-1,0,unknown,no
195,35,unemployed,married,secondary,no,315,yes,no,telephone,19,nov,70,1,-1,0,unknown,no
196,50,blue-collar,married,primary,no,8139,yes,no,cellular,18,aug,256,6,-1,0,unknown,no
197,45,management,married,tertiary,no,103,yes,no,unknown,7,may,35,4,-1,0,unknown,no
198,29,admin.,married,tertiary,no,111,no,no,cellular,14,may,208,1,-1,0,unknown,no
199,52,unemployed,married,secondary,no,9139,no,no,cellular,13,aug,684,2,-1,0,unknown,no
200,31,management,single,tertiary,no,170,yes,yes,cellular,5,may,168,1,265,2,failure,no
201,53,unemployed,divorced,tertiary,no,0,yes,yes,cellular,8,aug,140,2,-1,0,unknown,no
202,57,retired,married,secondary,no,2714,no,no,cellular,12,aug,106,2,-1,0,unknown,no
203,57,technician,married,primary,no,0,no,no,unknown,5,jun,58,8,-1,0,unknown,no
204,43,blue-collar,married,secondary,no,664,yes,no,cellular,9,apr,290,2,301,1,failure,no
205,41,blue-collar,divorced,primary,no,320,yes,no,unknown,26,may,511,1,-1,0,unknown,no
206,38,admin.,married,secondary,no,260,yes,no,cellular,10,jul,446,1,-1,0,unknown,no
207,33,self-employed,married,primary,no,0,no,no,cellular,6,aug,139,8,-1,0,unknown,no
208,35,blue-collar,single,primary,no,1284,yes,no,telephone,14,may,13,5,-1,0,unknown,no
209,49,self-employed,divorced,tertiary,no,3293,no,no,cellular,8,mar,111,3,585,6,other,no
210,28,admin.,married,secondary,no,54,no,yes,cellular,8,jul,226,1,-1,0,unknown,no
211,30,blue-collar,single,secondary,no,229,no,no,cellular,29,jan,24,3,-1,0,unknown,no
212,30,admin.,married,secondary,no,4,no,no,unknown,7,may,172,8,-1,0,unknown,no
213,58,management,married,tertiary,no,913,no,yes,cellular,8,jul,326,6,-1,0,unknown,no
214,58,admin.,married,primary,no,879,yes,no,unknown,16,may,242,7,-1,0,unknown,no
215,28,blue-collar,single,unknown,no,913,yes,no,unknown,27,may,580,2,-1,0,unknown,no
216,40,services,married,secondary,no,574,yes,no,unknown,15,may,68,3,-1,0,unknown,no
217,51,blue-collar,married,primary,no,541,no,no,cellular,11,aug,663,3,-1,0,unknown,yes
218,25,admin.,single,tertiary,no,1420,no,no,cellular,8,apr,124,2,-1,0,unknown,no
219,56,blue-collar,married,primary,no,247,no,no,telephone,9,apr,126,4,-1,0,unknown,no
220,32,services,single,secondary,no,133,no,no,cellular,15,apr,171,1,-1,0,unknown,yes
221,30,services,single,secondary,no,484,yes,no,unknown,16,may,356,2,-1,0,unknown,no
222,25,blue-collar,married,secondary,no,1782,yes,no,unknown,19,jun,549,1,-1,0,unknown,no
223,54,technician,divorced,secondary,no,2156,yes,no,cellular,3,feb,261,1,195,4,failure,yes
224,51,management,married,tertiary,no,371,no,no,telephone,4,feb,52,1,-1,0,unknown,no
225,57,retired,married,primary,no,3401,yes,no,unknown,14,may,271,2,-1,0,unknown,no
226,28,admin.,single,secondary,no,230,no,no,cellular,25,jul,118,3,-1,0,unknown,no
227,42,technician,single,secondary,no,2646,yes,no,cellular,23,jul,280,4,-1,0,unknown,no
228,29,student,single,secondary,no,510,yes,no,unknown,9,may,25,6,-1,0,unknown,no
229,32,management,single,tertiary,no,347,yes,no,cellular,18,may,213,1,264,6,failure,no
230,49,technician,divorced,secondary,no,95,yes,no,cellular,8,may,90,1,-1,0,unknown,no
231,27,student,single,secondary,no,162,no,no,telephone,20,apr,116,1,-1,0,unknown,no
232,61,admin.,married,unknown,no,1088,yes,no,cellular,20,may,254,1,359,1,failure,no
233,32,technician,single,secondary,no,17,no,no,cellular,28,aug,17,15,-1,0,unknown,no
234,74,retired,married,secondary,no,291,no,no,cellular,12,aug,543,1,-1,0,unknown,no
235,28,admin.,single,secondary,no,0,yes,yes,cellular,18,may,390,5,-1,0,unknown,yes
236,31,management,single,tertiary,no,12607,no,no,cellular,22,may,150,1,-1,0,unknown,no
237,46,unemployed,married,secondary,no,-125,yes,no,unknown,6,may,23,1,-1,0,unknown,no
238,44,entrepreneur,married,tertiary,no,1808,yes,no,cellular,9,jul,127,1,-1,0,unknown,no
239,41,services,married,secondary,no,714,yes,yes,unknown,15,may,504,5,-1,0,unknown,no
240,51,management,married,tertiary,no,994,no,no,cellular,3,sep,268,1,98,3,failure,no
241,48,blue-collar,married,primary,no,490,yes,no,unknown,19,may,622,2,-1,0,unknown,no
242,56,retired,married,primary,no,21,no,no,cellular,29,jul,324,7,-1,0,unknown,no
243,54,management,married,tertiary,no,1451,no,no,cellular,25,aug,308,7,-1,0,unknown,no
244,32,housemaid,married,primary,no,-184,yes,no,cellular,6,feb,129,2,197,1,failure,no
245,77,retired,married,tertiary,no,0,no,no,cellular,17,aug,286,1,-1,0,unknown,yes
246,56,technician,married,tertiary,no,272,no,no,cellular,26,aug,103,2,-1,0,unknown,no
247,29,admin.,single,tertiary,no,8,no,yes,cellular,2,mar,107,1,-1,0,unknown,no
248,48,blue-collar,married,unknown,no,434,no,no,cellular,18,aug,73,6,-1,0,unknown,no
249,45,technician,divorced,secondary,no,2657,no,no,cellular,7,aug,895,3,-1,0,unknown,yes
250,48,technician,single,secondary,no,957,no,no,cellular,26,aug,198,5,-1,0,unknown,no
251,49,self-employed,married,secondary,no,2576,yes,no,cellular,15,may,64,6,-1,0,unknown,no
252,65,entrepreneur,married,tertiary,no,2331,no,no,telephone,11,aug,425,1,183,2,success,yes
253,35,unemployed,married,secondary,no,759,no,no,cellular,19,nov,556,3,-1,0,unknown,no
254,38,management,married,secondary,no,124,no,no,cellular,20,aug,202,2,-1,0,unknown,no
255,34,blue-collar,married,secondary,no,-563,yes,no,unknown,26,may,252,1,-1,0,unknown,no
256,42,management,married,tertiary,no,255,yes,yes,unknown,3,jun,238,2,-1,0,unknown,no
257,42,blue-collar,divorced,primary,no,299,yes,no,cellular,29,jan,305,2,261,2,failure,no
258,51,management,married,tertiary,no,36,yes,no,unknown,13,may,535,2,-1,0,unknown,no
259,58,blue-collar,married,secondary,no,144,no,yes,cellular,25,jul,71,2,-1,0,unknown,no
260,44,blue-collar,married,secondary,no,4236,yes,no,cellular,4,may,378,3,-1,0,unknown,no
261,36,technician,single,secondary,no,0,no,no,cellular,21,aug,42,1,-1,0,unknown,no
262,51,blue-collar,married,primary,no,377,yes,no,telephone,3,feb,143,4,272,1,failure,no
263,39,blue-collar,married,primary,no,292,no,no,unknown,12,jun,394,1,-1,0,unknown,no
264,30,technician,married,unknown,yes,-315,yes,no,unknown,8,may,201,2,-1,0,unknown,no
265,26,blue-collar,single,secondary,no,114,no,yes,cellular,29,jul,361,4,-1,0,unknown,no
266,44,services,married,secondary,no,556,no,no,unknown,19,may,134,3,-1,0,unknown,no
267,32,management,married,tertiary,no,273,yes,yes,cellular,18,jul,97,3,-1,0,unknown,no
268,37,services,married,secondary,no,-349,yes,no,unknown,27,may,319,5,-1,0,unknown,no
269,52,technician,married,unknown,no,370,yes,no,cellular,28,jan,144,1,197,2,failure,no
270,33,technician,married,secondary,no,3470,no,no,cellular,11,aug,285,2,-1,0,unknown,no
271,35,admin.,single,tertiary,no,170,no,no,unknown,12,jul,12,1,-1,0,unknown,no
272,46,admin.,divorced,tertiary,no,3749,yes,no,unknown,13,may,69,19,-1,0,unknown,no
273,33,technician,married,secondary,no,480,yes,no,cellular,30,jan,272,1,270,1,other,no
274,25,management,single,tertiary,no,1098,yes,yes,cellular,8,jul,425,1,-1,0,unknown,no
275,28,self-employed,single,tertiary,no,4579,no,no,cellular,12,jan,409,2,-1,0,unknown,yes
276,33,technician,married,secondary,no,303,yes,no,cellular,3,feb,355,1,301,5,success,yes
277,38,blue-collar,married,secondary,no,22,yes,yes,unknown,7,may,353,4,-1,0,unknown,no
278,53,self-employed,married,tertiary,no,2013,no,no,cellular,19,aug,268,14,-1,0,unknown,no
279,53,entrepreneur,married,tertiary,no,22370,yes,no,unknown,15,may,106,1,-1,0,unknown,no
280,31,services,single,primary,yes,-357,yes,yes,cellular,11,jul,215,2,-1,0,unknown,no
281,25,admin.,married,secondary,no,789,yes,no,cellular,23,jul,202,1,-1,0,unknown,no
282,25,management,single,tertiary,no,323,no,yes,cellular,23,jul,98,1,-1,0,unknown,no
283,41,services,single,tertiary,no,285,yes,yes,unknown,29,may,135,1,-1,0,unknown,no
284,47,blue-collar,married,secondary,no,1484,no,no,cellular,17,nov,297,1,119,3,failure,no
285,36,blue-collar,divorced,secondary,no,221,yes,no,unknown,20,may,189,1,-1,0,unknown,no
286,60,retired,married,tertiary,no,161,yes,no,cellular,21,jul,153,3,-1,0,unknown,no
287,28,technician,married,primary,no,-58,yes,no,unknown,8,may,74,1,-1,0,unknown,no
288,47,management,married,unknown,no,641,no,no,cellular,21,nov,501,3,-1,0,unknown,no
289,41,management,married,tertiary,no,2127,no,no,cellular,8,aug,120,7,-1,0,unknown,no
290,41,management,single,tertiary,no,195,no,no,cellular,20,nov,125,1,167,2,failure,no
291,34,management,married,tertiary,no,1388,yes,no,cellular,1,sep,222,1,93,4,failure,no
292,33,management,single,tertiary,no,1373,yes,no,cellular,5,may,17,5,349,2,failure,no
293,38,services,married,secondary,no,2289,no,no,unknown,18,jun,89,5,-1,0,unknown,no
294,44,self-employed,married,unknown,no,163,yes,no,cellular,12,aug,44,1,100,3,success,no
295,57,blue-collar,married,primary,no,12048,yes,no,cellular,15,apr,103,2,-1,0,unknown,no
296,47,blue-collar,married,primary,no,840,no,yes,cellular,17,jul,509,1,-1,0,unknown,no
